Date,Open,High,Low,Close/Last,Volume
10/14/2024,220.13,221.91,213.74,219.16,86291920
10/11/2024,220.13,223.34,214.38,217.80,142628900
10/10/2024,241.81,242.79,232.34,238.77,83087060
10/9/2024,243.82,247.43,239.51,241.05,66289530
10/8/2024,243.56,246.21,240.56,244.50,56303160
10/7/2024,249.00,249.83,240.70,240.83,68113270
10/4/2024,246.69,250.96,244.58,250.08,86726290
10/3/2024,244.48,249.79,237.81,240.66,80729240
10/2/2024,247.55,251.16,241.50,249.02,93983930
10/1/2024,262.67,263.98,248.53,258.02,87397610
9/30/2024,259.04,264.86,255.77,261.63,80873380
9/27/2024,257.38,260.70,254.12,260.46,70988070
9/26/2024,260.60,261.75,251.53,254.22,67142190
9/25/2024,252.54,257.05,252.28,257.02,65034320
9/24/2024,254.08,257.19,249.05,254.27,88491000
9/23/2024,242.61,250.00,241.92,250.00,86927190
9/20/2024,241.52,243.99,235.92,238.25,99879070
9/19/2024,234.00,244.24,232.13,243.92,102694600
9/18/2024,230.09,235.68,226.88,227.20,78010200
9/17/2024,229.45,234.57,226.55,227.87,66761640
9/16/2024,229.30,229.96,223.53,226.78,54323000
9/13/2024,228.00,232.67,226.32,230.29,59515110
9/12/2024,224.66,231.45,223.83,229.81,72020040
9/11/2024,224.55,228.47,216.80,228.13,83548630
9/10/2024,220.07,226.40,218.64,226.17,78891140
9/9/2024,216.20,219.87,213.67,216.27,67443520
9/6/2024,232.60,233.60,210.51,210.73,112177000
9/5/2024,223.49,235.00,222.25,230.17,119355000
9/4/2024,210.59,222.22,210.57,219.41,80651770
9/3/2024,215.26,219.90,209.64,210.60,76714220
8/30/2024,208.63,214.57,207.03,214.11,63370610
8/29/2024,209.80,214.89,205.97,206.28,62308820
8/28/2024,209.72,211.84,202.59,205.75,64116350
8/27/2024,213.25,215.66,206.94,209.21,62821390
8/26/2024,218.75,219.09,211.01,213.21,59301190
8/23/2024,214.46,221.48,214.21,220.32,81525210
8/22/2024,223.82,224.80,210.32,210.66,79514480
8/21/2024,222.67,224.66,218.86,223.27,70145960
8/20/2024,224.88,228.22,219.56,221.10,74001180
8/19/2024,217.07,222.98,214.09,222.72,76435220
8/16/2024,211.15,219.80,210.80,216.12,88765120
8/15/2024,205.02,215.88,204.82,214.14,89848530
8/14/2024,207.39,208.44,198.75,201.38,70250010
8/13/2024,198.47,208.49,197.06,207.83,76247390
8/12/2024,199.02,199.26,194.67,197.49,64044900
8/9/2024,197.05,200.88,195.11,200.00,58648270
8/8/2024,195.70,200.70,192.04,198.84,65033870
8/7/2024,200.77,203.49,191.48,191.76,71159780
8/6/2024,200.75,202.90,192.67,200.64,73783940
8/5/2024,185.22,203.88,182.00,198.88,100308800
8/2/2024,214.88,216.13,205.78,207.67,82880120
8/1/2024,227.69,231.87,214.33,216.86,83861900
7/31/2024,227.90,234.68,226.79,232.07,67497010
7/30/2024,232.25,232.41,220.00,222.62,100560300
7/29/2024,224.90,234.27,224.70,232.10,129201800
7/26/2024,221.19,222.28,215.33,219.80,94604150
7/25/2024,216.80,226.00,216.23,220.25,100636500
7/24/2024,225.42,225.99,214.71,215.99,167942900
7/23/2024,253.60,255.76,245.63,246.38,111928200
7/22/2024,244.21,253.21,243.75,251.51,101225400
7/19/2024,247.79,249.44,236.83,239.20,87403900
7/18/2024,251.09,257.14,247.20,249.23,110869000
7/17/2024,252.73,258.47,246.18,248.50,115584800
7/16/2024,255.31,258.62,245.80,256.56,126332500
7/15/2024,255.97,265.60,251.73,252.64,146912900
7/12/2024,235.80,251.84,233.09,248.23,155955800
7/11/2024,263.30,271.00,239.65,241.03,221707300
7/10/2024,262.80,267.59,257.86,263.26,128519400
7/9/2024,251.00,265.61,250.30,262.33,160742500
7/8/2024,247.71,259.44,244.57,252.94,157219600
7/5/2024,249.81,252.37,242.46,251.52,154501200
7/3/2024,234.56,248.35,234.25,246.39,166561500
7/2/2024,218.89,231.30,218.06,231.26,205047900
7/1/2024,201.02,213.23,200.85,209.86,135691400
6/28/2024,199.55,203.20,195.26,197.88,95438070
6/27/2024,195.17,198.72,194.05,197.42,72746520
6/26/2024,186.54,197.76,186.36,196.37,95737070
6/25/2024,184.40,187.97,182.01,187.35,63678270
6/24/2024,184.97,188.80,182.55,182.58,61992070
6/21/2024,182.30,183.95,180.69,183.01,63029480
6/20/2024,184.68,185.21,179.66,181.57,55893140
6/18/2024,186.56,187.20,182.37,184.86,68982270
6/17/2024,177.92,188.81,177.00,187.44,109786100
6/14/2024,185.80,186.00,176.92,178.01,82038190
6/13/2024,188.39,191.08,181.23,182.47,118984100
6/12/2024,171.12,180.55,169.80,177.29,90389450
6/11/2024,173.92,174.75,167.41,170.66,64761930
6/10/2024,176.06,178.57,173.17,173.79,50869680
6/7/2024,176.13,179.35,175.58,177.48,56244930
6/6/2024,174.60,179.73,172.73,177.94,69887020
6/5/2024,175.35,176.15,172.13,175.00,57953760
6/4/2024,174.78,177.76,174.00,174.77,60056340
6/3/2024,178.13,182.64,174.49,176.29,68568920
5/31/2024,178.50,180.32,173.82,178.08,67314600
5/30/2024,178.58,182.67,175.38,178.79,77784760
5/29/2024,174.19,178.15,173.93,176.19,54782650
5/28/2024,176.40,178.25,173.16,176.75,59736620
5/24/2024,174.84,180.08,173.73,179.24,65584480
5/23/2024,181.80,181.90,173.26,173.74,71975500
5/22/2024,182.85,183.80,178.12,180.11,88313480
5/21/2024,175.51,186.88,174.71,186.60,115266500
5/20/2024,177.56,177.75,173.52,174.95,61727430
5/17/2024,173.55,179.63,172.75,177.46,77445850
5/16/2024,174.10,175.79,171.43,174.84,59812220
5/15/2024,179.90,180.00,173.11,173.99,79662990
5/14/2024,174.50,179.49,174.07,177.55,86407420
5/13/2024,170.00,175.40,169.00,171.89,67018900
5/10/2024,173.05,173.06,167.75,168.47,72627180
5/9/2024,175.01,175.62,171.37,171.97,65950290
5/8/2024,171.59,176.06,170.15,174.72,79969490
5/7/2024,182.40,183.26,177.40,177.81,75045850
5/6/2024,183.80,187.56,182.20,184.76,84390250
5/3/2024,182.10,184.78,178.42,181.19,75491540
5/2/2024,182.86,184.60,176.02,180.01,89148040
5/1/2024,182.00,185.86,179.01,179.99,92829720
4/30/2024,186.98,190.95,182.84,183.28,127031800
4/29/2024,188.42,198.87,184.54,194.05,243869700
4/26/2024,168.85,172.12,166.37,168.29,109815700
4/25/2024,158.96,170.88,158.36,170.18,126427500
4/24/2024,162.84,167.97,157.51,162.13,181178000
4/23/2024,143.33,147.26,141.11,144.68,124545100
4/22/2024,140.56,144.44,138.80,142.05,107097600
4/19/2024,148.97,150.94,146.22,147.05,87074500
4/18/2024,151.25,152.20,148.70,149.93,96098830
4/17/2024,157.64,158.33,153.78,155.45,82439720
4/16/2024,156.74,158.19,153.75,157.11,96999960
4/15/2024,170.24,170.69,161.38,161.48,100245300
4/12/2024,172.34,173.81,170.36,171.05,64722670
